"player_id","full_name","position","posteam","targets","carries","team_targets","team_carries","catch_percentage","yards_per_carry","yards_per_rec","exp_ppg","games","carry_share","target_share"
"00-0037248","James Cook","RB","BUF",13,44,110,90,0.769230769230769,6.06818181818182,6.7,15.1266666666667,3,0.488888888888889,0.118181818181818
"00-0037252","Greg Dulcich","TE","DEN",2,0,34,22,1,0,11,3.19,1,0,0.0588235294117647
"00-0037256","Rachaad White","RB","TB",10,48,93,84,1,3.125,6.4,14.4866666666667,3,0.571428571428571,0.10752688172043
"00-0037257","David Bell","WR","CLE",4,0,69,75,0.75,0,9,2.73,2,0,0.0579710144927536
"00-0037258","Dameon Pierce","RB","HOU",9,40,121,75,0.777777777777778,2.5,5.85714285714286,12.2233333333333,3,0.533333333333333,0.0743801652892562
"00-0037261","Khalil Shakir","WR","BUF",2,0,69,68,1,0,8,1.83,2,0,0.0289855072463768
"00-0037263","Tyler Allgeier","RB","ATL",6,38,88,91,0.833333333333333,3.55263157894737,7.2,11.3733333333333,3,0.417582417582418,0.0681818181818182
"00-0037267","Jerome Ford","RB","CLE",7,41,102,106,0.714285714285714,3.90243902439024,11.6,11.59,3,0.386792452830189,0.0686274509803922
"00-0037276","Ty Chandler","RB","MIN",5,7,138,50,0.8,3.85714285714286,7.75,3.70333333333333,3,0.14,0.036231884057971
"00-0037277","Teagan Quitoriano","TE","HOU",2,0,74,49,0.5,0,11,1.17,2,0,0.027027027027027
"00-0037292","Andrew Ogletree","TE","IND",4,0,83,61,0.5,0,15.5,3.46,2,0,0.0481927710843374
"00-0037299","Keaontay Ingram","RB","ARI",1,12,82,84,1,1.25,8,2.29,3,0.142857142857143,0.0121951219512195
"00-0037304","Connor Heyward","TE","PIT",6,1,74,41,0.333333333333333,0,9.5,5.525,2,0.024390243902439,0.0810810810810811
"00-0037311","Ko Kieft","TE","TB",3,0,34,33,0,0,0,6.25,1,0,0.0882352941176471
"00-0037382","Brandon Johnson","WR","DEN",9,0,104,65,0.666666666666667,0,18.1666666666667,4.61333333333333,3,0,0.0865384615384615
"00-0037475","Stone Smartt","TE","LAC",1,0,41,21,1,0,24,1.21,1,0,0.024390243902439
"00-0037487","Deven Thompkins","WR","TB",7,1,93,84,0.571428571428571,11,4,4,3,0.0119047619047619,0.0752688172043011
"00-0037525","Jordan Mason","RB","SF",0,3,37,39,0,3.66666666666667,0,1.34,1,0.0769230769230769,0
"00-0037545","Rashid Shaheed","WR","NO",12,3,104,82,0.75,3.66666666666667,16.8888888888889,8.32666666666667,3,0.0365853658536585,0.115384615384615
"00-0037557","Ronnie Rivers","RB","LA",1,0,55,22,1,0,4,1.58,1,0,0.0181818181818182
"00-0037569","Peyton Hendershot","TE","DAL",2,1,103,107,0.5,0,3,3.19666666666667,3,0.00934579439252336,0.0194174757281553
"00-0037614","John Metchie","WR","HOU",3,0,77,52,1,0,10,2.265,2,0,0.038961038961039
"00-0037664","Alec Pierce","WR","IND",12,0,116,84,0.5,0,12.6666666666667,6.88666666666667,3,0,0.103448275862069
"00-0037666","Jalen Tolbert","WR","DAL",5,0,63,74,0.6,0,6,3.665,2,0,0.0793650793650794
"00-0037740","Garrett Wilson","WR","NYJ",22,0,85,66,0.545454545454545,0,13.75,10.9433333333333,3,0,0.258823529411765
"00-0037741","Jahan Dotson","WR","WAS",16,0,99,64,0.625,0,8.3,7.48666666666667,3,0,0.161616161616162
"00-0037742","Treylon Burks","WR","TEN",13,1,83,71,0.461538461538462,9,16.5,7.88666666666667,3,0.0140845070422535,0.156626506024096
"00-0037744","Trey McBride","TE","ARI",6,0,82,84,0.833333333333333,0,11.4,2.74,3,0,0.0731707317073171
