"season","posteam","week","full_name","position","pass_attempt","rec_attempt","rush_attempt","pass_air_yards","rec_air_yards","pass_completions","receptions","pass_completions_exp","receptions_exp","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_yards_gained_exp","rec_yards_gained_exp","rush_yards_gained_exp","pass_touchdown","rec_touchdown","rush_touchdown","pass_touchdown_exp","rec_touchdown_exp","rush_touchdown_exp","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_first_down","rec_first_down","rush_first_down","pass_interception","rec_interception","pass_interception_exp","rec_interception_exp","rec_fumble_lost","rush_fumble_lost","pass_fantasy_points_exp","rec_fantasy_points_exp","rush_fantasy_points_exp","pass_fantasy_points","rec_fantasy_points","rush_fantasy_points","total_yards_gained","total_yards_gained_exp","total_touchdown","total_touchdown_exp","total_first_down","total_first_down_exp","total_fantasy_points","total_fantasy_points_exp","pass_completions_diff","receptions_diff","pass_yards_gained_diff","rec_yards_gained_diff","rush_yards_gained_diff","pass_touchdown_diff","rec_touchdown_diff","rush_touchdown_diff","pass_first_down_diff","rec_first_down_diff","rush_first_down_diff","pass_fantasy_points_diff","rec_fantasy_points_diff","rush_fantasy_points_diff","total_yards_gained_diff","total_touchdown_diff","total_fantasy_points_diff","pass_attempt_team","rec_attempt_team","rush_attempt_team","pass_air_yards_team","rec_air_yards_team","pass_completions_team","receptions_team","pass_completions_exp_team","receptions_exp_team","pass_yards_gained_team","rec_yards_gained_team","rush_yards_gained_team","pass_yards_gained_exp_team","rec_yards_gained_exp_team","rush_yards_gained_exp_team","pass_touchdown_team","rec_touchdown_team","rush_touchdown_team","pass_touchdown_exp_team","rec_touchdown_exp_team","rush_touchdown_exp_team","pass_two_point_conv_team","rec_two_point_conv_team","rush_two_point_conv_team","pass_first_down_team","rec_first_down_team","rush_first_down_team","pass_interception_team","rec_interception_team","pass_interception_exp_team","rec_interception_exp_team","rec_fumble_lost_team","rush_fumble_lost_team","pass_fantasy_points_exp_team","rec_fantasy_points_exp_team","rush_fantasy_points_exp_team","pass_fantasy_points_team","rec_fantasy_points_team","rush_fantasy_points_team","pass_completions_diff_team","receptions_diff_team","pass_yards_gained_diff_team","rec_yards_gained_diff_team","rush_yards_gained_diff_team","pass_touchdown_diff_team","rec_touchdown_diff_team","rush_touchdown_diff_team","pass_first_down_diff_team","rec_first_down_diff_team","rush_first_down_diff_team","pass_interception_diff_team","rec_interception_diff_team","pass_fantasy_points_diff_team","rec_fantasy_points_diff_team","rush_fantasy_points_diff_team","total_yards_gained_team","total_yards_gained_exp_team","total_yards_gained_diff_team","total_touchdown_team","total_touchdown_exp_team","total_touchdown_diff_team","total_first_down_team","total_first_down_exp_team","total_fantasy_points_team","total_fantasy_points_exp_team","total_fantasy_points_diff_team","target_share","rush_share"
"2019","ATL",1,"Mohamed Sanu","WR",0,6,0,0,37,0,5,0,4.25,0,57,0,0,40.94,0,0,0,0,0,0.02,0,0,0,0,0,2,0,0,0,0,0.11,0,0,0,8.49,0,0,10.7,0,57,40.94,0,0.02,2,1.76,10.7,8.49,0,0.75,0,16.06,0,0,-0.02,0,0,0.24,0,0,2.21,0,16.06,-0.02,2.21,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.130434782608696,0
"2019","ATL",1,"Calvin Ridley","WR",0,6,0,0,79,0,4,0,3.58,0,64,0,0,51.76,0,0,1,0,0,0.34,0,0,0,0,0,4,0,0,0,0,0.2,0,0,0,10.78,0,0,16.4,0,64,51.76,1,0.34,4,2.62,16.4,10.78,0,0.42,0,12.24,0,0,0.66,0,0,1.38,0,0,5.62,0,12.24,0.66,5.62,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.130434782608696,0
"2019","MIN",1,"Chad Beebe","WR",0,1,0,0,0,0,1,0,0.77,0,9,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01,0,0,0,1.38,0,0,1.9,0,9,5.82,0,0,1,0.22,1.9,1.38,0,0.23,0,3.18,0,0,0,0,0,0.78,0,0,0.52,0,3.18,0,0.52,10,10,38,51,51,8,8,7.22,7.22,98,98,172,77.56,77.56,150.11,1,1,3,0.14,0.13,1.85,0,0,0,4,4,10,0,0,0.13,0.14,0,0,3.41,15.83,26.06,7.92,23.8,35.2,0.78,0.78,20.44,20.44,21.89,0.86,0.87,1.15,0.88,0.88,0.37,-0.13,-0.14,4.51,7.97,9.14,270,227.67,42.33,4,1.98,2.02,14,12.75,59,41.89,17.11,0.1,0
"2019","MIN",1,"Kyle Rudolph","TE",0,1,0,0,4,0,0,0,0.83,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,1.71,0,0,0,0,0,8.57,0,0,0,0.31,0,1.71,0,-0.83,0,-8.57,0,0,0,0,0,-0.31,0,0,-1.71,0,-8.57,0,-1.71,10,10,38,51,51,8,8,7.22,7.22,98,98,172,77.56,77.56,150.11,1,1,3,0.14,0.13,1.85,0,0,0,4,4,10,0,0,0.13,0.14,0,0,3.41,15.83,26.06,7.92,23.8,35.2,0.78,0.78,20.44,20.44,21.89,0.86,0.87,1.15,0.88,0.88,0.37,-0.13,-0.14,4.51,7.97,9.14,270,227.67,42.33,4,1.98,2.02,14,12.75,59,41.89,17.11,0.1,0
"2019","ATL",1,"Ito Smith","RB",0,1,6,0,1,0,1,0,0.79,0,9,31,0,5.54,23.85,0,0,0,0,0,0.48,0,0,0,0,0,3,0,0,0,0,0,0,0,1.36,5.25,0,1.9,3.1,40,29.39,0,0.48,3,2.65,5,6.61,0,0.21,0,3.46,7.15,0,0,-0.48,0,-0.21,0.56,0,0.54,-2.15,10.61,-0.48,-1.61,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.0217391304347826,0.352941176470588
"2019","ATL",1,"Austin Hooper","TE",0,9,0,0,45,0,9,0,6.96,0,77,0,0,62.51,0,0,0,0,0,0.02,0,0,0,0,0,3,0,0,0,0,0.1,0,0,0,13.32,0,0,16.7,0,77,62.51,0,0.02,3,2.63,16.7,13.32,0,2.04,0,14.49,0,0,-0.02,0,0,0.37,0,0,3.38,0,14.49,-0.02,3.38,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.195652173913043,0
"2019","ATL",1,"Luke Stocker","TE",0,1,0,0,3,0,0,0,0.48,0,0,0,0,1.28,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,1,0,0.03,0,0,0,3.5,0,0,0,0,0,1.28,0,0.48,0,0.61,0,3.5,0,-0.48,0,-1.28,0,0,-0.48,0,0,-0.61,0,0,-3.5,0,-1.28,-0.48,-3.5,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.0217391304347826,0
"2019","ATL",1,"Devonta Freeman","RB",0,4,8,0,11,0,3,0,3.1,0,12,19,0,25.43,34.5,0,0,0,0,0.05,0.03,0,0,0,0,0,1,0,0,0,0.03,0,1,0,5.93,3.62,0,4.2,-0.1,31,59.93,0,0.08,1,2.55,4.1,9.55,0,-0.1,0,-13.43,-15.5,0,-0.05,-0.03,0,-0.74,-0.81,0,-1.73,-3.72,-28.93,-0.08,-5.45,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.0869565217391304,0.470588235294118
"2019","BAL",1,"Lamar Jackson","QB",20,0,3,224,0,17,0,12.51,0,324,0,6,162.48,0,10.85,5,0,0,2.53,0,0.01,0,0,0,12,0,0,0,0,0.52,0,0,0,15.59,0,1.12,32.96,0,0.6,330,173.33,5,2.54,12,9.86,33.56,16.71,4.49,0,161.52,0,-4.85,2.47,0,-0.01,2.74,0,-0.6,17.37,0,-0.52,156.67,2.46,16.85,26,26,46,262,262,23,23,16.9,16.9,379,379,265,212.15,212.15,161.46,6,6,2,3.16,3.16,3.05,0,0,0,17,17,10,0,0,0.61,0.62,0,0,19.93,57.11,34.4,39.16,96.9,38.5,6.1,6.1,166.85,166.85,103.54,2.84,2.84,-1.05,4.45,4.44,0.39,-0.61,-0.62,19.23,39.79,4.1,644,373.61,270.39,8,6.21,1.79,27,22.17,135.4,91.51,43.89,0,0.0652173913043478
"2019","BAL",1,"Hayden Hurst","TE",0,3,0,0,25,0,3,0,2.03,0,41,0,0,27.17,0,0,0,0,0,0.02,0,0,0,0,0,2,0,0,0,0,0.05,0,0,0,4.86,0,0,7.1,0,41,27.17,0,0.02,2,1.42,7.1,4.86,0,0.97,0,13.83,0,0,-0.02,0,0,0.58,0,0,2.24,0,13.83,-0.02,2.24,26,26,46,262,262,23,23,16.9,16.9,379,379,265,212.15,212.15,161.46,6,6,2,3.16,3.16,3.05,0,0,0,17,17,10,0,0,0.61,0.62,0,0,19.93,57.11,34.4,39.16,96.9,38.5,6.1,6.1,166.85,166.85,103.54,2.84,2.84,-1.05,4.45,4.44,0.39,-0.61,-0.62,19.23,39.79,4.1,644,373.61,270.39,8,6.21,1.79,27,22.17,135.4,91.51,43.89,0.115384615384615,0
"2019","BAL",1,"Nick Boyle","TE",0,3,0,0,12,0,3,0,2.42,0,26,0,0,26.32,0,0,0,0,0,0.08,0,0,0,0,0,2,0,0,0,0,0.03,0,0,0,5.52,0,0,5.6,0,26,26.32,0,0.08,2,1.35,5.6,5.52,0,0.58,0,-0.32,0,0,-0.08,0,0,0.65,0,0,0.0800000000000001,0,-0.32,-0.08,0.0800000000000001,26,26,46,262,262,23,23,16.9,16.9,379,379,265,212.15,212.15,161.46,6,6,2,3.16,3.16,3.05,0,0,0,17,17,10,0,0,0.61,0.62,0,0,19.93,57.11,34.4,39.16,96.9,38.5,6.1,6.1,166.85,166.85,103.54,2.84,2.84,-1.05,4.45,4.44,0.39,-0.61,-0.62,19.23,39.79,4.1,644,373.61,270.39,8,6.21,1.79,27,22.17,135.4,91.51,43.89,0.115384615384615,0
"2019","MIA",1,"Ryan Fitzpatrick","QB",29,0,1,402,0,14,0,14.73,0,185,0,8,215.72,0,6.16,1,0,0,1.15,0,0,0,0,0,10,0,1,1,0,1.58,0,0,0,10.08,0,0.64,9.4,0,0.8,193,221.88,1,1.15,11,9.58,10.2,10.72,-0.73,0,-30.72,0,1.84,-0.15,0,0,1.29,0,0.13,-0.68,0,0.16,-28.88,-0.15,-0.52,32,32,12,419,419,15,15,16.65,16.65,190,190,21,236.32,236.31,56.73,1,1,0,1.16,1.16,0.02,0,0,0,10,10,1,2,2,1.66,1.67,0,0,10.76,47.23,5.82,7.6,40,2.1,-1.65,-1.65,-46.32,-46.31,-35.73,-0.16,-0.16,-0.02,0.239999999999999,0.24,-1.01,0.34,0.33,-3.16,-7.23,-3.72,211,293.04,-82.04,1,1.18,-0.18,11,11.77,42.1,53.05,-10.95,0,0.0833333333333333
"2019","MIA",1,"Preston Williams","WR",0,5,0,0,73,0,3,0,2.17,0,24,0,0,28.14,0,0,1,0,0,0.69,0,0,0,0,0,2,0,0,0,0,0.29,0,0,0,9.14,0,0,11.4,0,24,28.14,1,0.69,2,1.8,11.4,9.14,0,0.83,0,-4.14,0,0,0.31,0,0,0.2,0,0,2.26,0,-4.14,0.31,2.26,32,32,12,419,419,15,15,16.65,16.65,190,190,21,236.32,236.31,56.73,1,1,0,1.16,1.16,0.02,0,0,0,10,10,1,2,2,1.66,1.67,0,0,10.76,47.23,5.82,7.6,40,2.1,-1.65,-1.65,-46.32,-46.31,-35.73,-0.16,-0.16,-0.02,0.239999999999999,0.24,-1.01,0.34,0.33,-3.16,-7.23,-3.72,211,293.04,-82.04,1,1.18,-0.18,11,11.77,42.1,53.05,-10.95,0.15625,0
"2019","MIA",1,"Albert Wilson","WR",0,4,1,0,0,0,2,0,2.74,0,13,1,0,20.11,4.4,0,0,0,0,0.01,0,0,0,0,0,1,0,0,0,0,0.09,0,0,0,4.81,0.45,0,3.3,0.1,14,24.51,0,0.01,1,0.8,3.4,5.26,0,-0.74,0,-7.11,-3.4,0,-0.01,0,0,0.27,-0.07,0,-1.51,-0.35,-10.51,-0.01,-1.86,32,32,12,419,419,15,15,16.65,16.65,190,190,21,236.32,236.31,56.73,1,1,0,1.16,1.16,0.02,0,0,0,10,10,1,2,2,1.66,1.67,0,0,10.76,47.23,5.82,7.6,40,2.1,-1.65,-1.65,-46.32,-46.31,-35.73,-0.16,-0.16,-0.02,0.239999999999999,0.24,-1.01,0.34,0.33,-3.16,-7.23,-3.72,211,293.04,-82.04,1,1.18,-0.18,11,11.77,42.1,53.05,-10.95,0.125,0.0833333333333333
"2019","MIA",1,"Kenyan Drake","RB",0,3,4,0,28,0,2,0,1.9,0,15,12,0,23.25,17.64,0,0,0,0,0.02,0.01,0,0,0,0,1,0,0,1,0,0.06,0,0,0,4.34,1.81,0,3.5,1.2,27,40.89,0,0.03,1,1.16,4.7,6.15,0,0.1,0,-8.25,-5.64,0,-0.02,-0.01,0,0.21,-0.37,0,-0.84,-0.61,-13.89,-0.03,-1.45,32,32,12,419,419,15,15,16.65,16.65,190,190,21,236.32,236.31,56.73,1,1,0,1.16,1.16,0.02,0,0,0,10,10,1,2,2,1.66,1.67,0,0,10.76,47.23,5.82,7.6,40,2.1,-1.65,-1.65,-46.32,-46.31,-35.73,-0.16,-0.16,-0.02,0.239999999999999,0.24,-1.01,0.34,0.33,-3.16,-7.23,-3.72,211,293.04,-82.04,1,1.18,-0.18,11,11.77,42.1,53.05,-10.95,0.09375,0.333333333333333
"2019","BAL",1,"Marquise Brown","WR",0,5,0,0,94,0,4,0,2.89,0,147,0,0,50.78,0,0,2,0,0,0.33,0,0,0,0,0,3,0,0,0,0,0.14,0,0,0,9.96,0,0,30.7,0,147,50.78,2,0.33,3,2.06,30.7,9.96,0,1.11,0,96.22,0,0,1.67,0,0,0.94,0,0,20.74,0,96.22,1.67,20.74,26,26,46,262,262,23,23,16.9,16.9,379,379,265,212.15,212.15,161.46,6,6,2,3.16,3.16,3.05,0,0,0,17,17,10,0,0,0.61,0.62,0,0,19.93,57.11,34.4,39.16,96.9,38.5,6.1,6.1,166.85,166.85,103.54,2.84,2.84,-1.05,4.45,4.44,0.39,-0.61,-0.62,19.23,39.79,4.1,644,373.61,270.39,8,6.21,1.79,27,22.17,135.4,91.51,43.89,0.192307692307692,0
