"season","posteam","week","full_name","position","pass_attempt","rec_attempt","rush_attempt","pass_air_yards","rec_air_yards","pass_completions","receptions","pass_completions_exp","receptions_exp","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_yards_gained_exp","rec_yards_gained_exp","rush_yards_gained_exp","pass_touchdown","rec_touchdown","rush_touchdown","pass_touchdown_exp","rec_touchdown_exp","rush_touchdown_exp","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_first_down","rec_first_down","rush_first_down","pass_interception","rec_interception","pass_interception_exp","rec_interception_exp","rec_fumble_lost","rush_fumble_lost","pass_fantasy_points_exp","rec_fantasy_points_exp","rush_fantasy_points_exp","pass_fantasy_points","rec_fantasy_points","rush_fantasy_points","total_yards_gained","total_yards_gained_exp","total_touchdown","total_touchdown_exp","total_first_down","total_first_down_exp","total_fantasy_points","total_fantasy_points_exp","pass_completions_diff","receptions_diff","pass_yards_gained_diff","rec_yards_gained_diff","rush_yards_gained_diff","pass_touchdown_diff","rec_touchdown_diff","rush_touchdown_diff","pass_first_down_diff","rec_first_down_diff","rush_first_down_diff","pass_fantasy_points_diff","rec_fantasy_points_diff","rush_fantasy_points_diff","total_yards_gained_diff","total_touchdown_diff","total_fantasy_points_diff","pass_attempt_team","rec_attempt_team","rush_attempt_team","pass_air_yards_team","rec_air_yards_team","pass_completions_team","receptions_team","pass_completions_exp_team","receptions_exp_team","pass_yards_gained_team","rec_yards_gained_team","rush_yards_gained_team","pass_yards_gained_exp_team","rec_yards_gained_exp_team","rush_yards_gained_exp_team","pass_touchdown_team","rec_touchdown_team","rush_touchdown_team","pass_touchdown_exp_team","rec_touchdown_exp_team","rush_touchdown_exp_team","pass_two_point_conv_team","rec_two_point_conv_team","rush_two_point_conv_team","pass_first_down_team","rec_first_down_team","rush_first_down_team","pass_interception_team","rec_interception_team","pass_interception_exp_team","rec_interception_exp_team","rec_fumble_lost_team","rush_fumble_lost_team","pass_fantasy_points_exp_team","rec_fantasy_points_exp_team","rush_fantasy_points_exp_team","pass_fantasy_points_team","rec_fantasy_points_team","rush_fantasy_points_team","pass_completions_diff_team","receptions_diff_team","pass_yards_gained_diff_team","rec_yards_gained_diff_team","rush_yards_gained_diff_team","pass_touchdown_diff_team","rec_touchdown_diff_team","rush_touchdown_diff_team","pass_first_down_diff_team","rec_first_down_diff_team","rush_first_down_diff_team","pass_interception_diff_team","rec_interception_diff_team","pass_fantasy_points_diff_team","rec_fantasy_points_diff_team","rush_fantasy_points_diff_team","total_yards_gained_team","total_yards_gained_exp_team","total_yards_gained_diff_team","total_touchdown_team","total_touchdown_exp_team","total_touchdown_diff_team","total_first_down_team","total_first_down_exp_team","total_fantasy_points_team","total_fantasy_points_exp_team","total_fantasy_points_diff_team","target_share","rush_share"
"2019","MIN",1,"Kirk Cousins","QB",10,0,6,51,0,8,0,7.22,0,98,0,4,77.56,0,2.27,1,0,1,0.14,0,0.73,0,0,0,4,0,3,0,0,0.13,0,0,0,3.41,0,4.59,7.92,0,6.4,102,79.83,2,0.87,7,5.52,14.32,8,0.78,0,20.44,0,1.73,0.86,0,0.27,0.88,0,0.6,4.51,0,1.81,22.17,1.13,6.32,10,10,38,51,51,8,8,7.22,7.22,98,98,172,77.56,77.56,150.11,1,1,3,0.14,0.13,1.85,0,0,0,4,4,10,0,0,0.13,0.14,0,0,3.41,15.83,26.06,7.92,23.8,35.2,0.78,0.78,20.44,20.44,21.89,0.86,0.87,1.15,0.88,0.88,0.37,-0.13,-0.14,4.51,7.97,9.14,270,227.67,42.33,4,1.98,2.02,14,12.75,59,41.89,17.11,0,0.157894736842105
"2019","MIN",1,"Dalvin Cook","RB",0,2,21,0,2,0,2,0,1.61,0,9,111,0,13.96,94.79,0,0,2,0,0.03,0.98,0,0,0,0,0,5,0,0,0,0.01,0,0,0,3.18,15.34,0,2.9,23.1,120,108.75,2,1.01,5,6.05,26,18.52,0,0.39,0,-4.96,16.21,0,-0.03,1.02,0,-0.31,-0.74,0,-0.28,7.76,11.25,0.99,7.48,10,10,38,51,51,8,8,7.22,7.22,98,98,172,77.56,77.56,150.11,1,1,3,0.14,0.13,1.85,0,0,0,4,4,10,0,0,0.13,0.14,0,0,3.41,15.83,26.06,7.92,23.8,35.2,0.78,0.78,20.44,20.44,21.89,0.86,0.87,1.15,0.88,0.88,0.37,-0.13,-0.14,4.51,7.97,9.14,270,227.67,42.33,4,1.98,2.02,14,12.75,59,41.89,17.11,0.2,0.552631578947368
"2019","MIN",1,"Adam Thielen","WR",0,3,0,0,25,0,3,0,1.96,0,43,0,0,25.06,0,0,1,0,0,0.05,0,0,0,0,0,2,0,0,0,0,0.06,0,0,0,4.77,0,0,13.3,0,43,25.06,1,0.05,2,1.16,13.3,4.77,0,1.04,0,17.94,0,0,0.95,0,0,0.84,0,0,8.53,0,17.94,0.95,8.53,10,10,38,51,51,8,8,7.22,7.22,98,98,172,77.56,77.56,150.11,1,1,3,0.14,0.13,1.85,0,0,0,4,4,10,0,0,0.13,0.14,0,0,3.41,15.83,26.06,7.92,23.8,35.2,0.78,0.78,20.44,20.44,21.89,0.86,0.87,1.15,0.88,0.88,0.37,-0.13,-0.14,4.51,7.97,9.14,270,227.67,42.33,4,1.98,2.02,14,12.75,59,41.89,17.11,0.3,0
"2019","ATL",1,"Matt Ryan","QB",46,0,2,360,0,33,0,31.4,0,304,0,24,330.34,0,14.42,2,0,0,1.67,0,0.01,0,0,0,16,0,1,2,0,0.91,0,0,0,20.18,0,1.52,16.16,0,2.4,328,344.76,2,1.68,17,17.03,18.56,21.7,1.6,0,-26.34,0,9.58,0.33,0,-0.01,-0.579999999999998,0,0.55,-4.02,0,0.88,-16.76,0.32,-3.14,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0,0.117647058823529
"2019","ATL",1,"Julio Jones","WR",0,11,0,0,107,0,6,0,6.92,0,31,0,0,76.66,0,0,1,0,0,0.7,0,0,0,0,0,4,0,0,1,0,0.26,0,0,0,19.83,0,0,15.1,0,31,76.66,1,0.7,4,4.44,15.1,19.83,0,-0.92,0,-45.66,0,0,0.3,0,0,-0.44,0,0,-4.73,0,-45.66,0.3,-4.73,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.239130434782609,0
"2019","MIN",1,NA,NA,0,1,0,0,-9,0,0,0,0.71,0,0,0,0,1.1,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,1.01,0,0,0,0,0,1.1,0,0.03,0,0.14,0,1.01,0,-0.71,0,-1.1,0,0,-0.03,0,0,-0.14,0,0,-1.01,0,-1.1,-0.03,-1.01,10,10,38,51,51,8,8,7.22,7.22,98,98,172,77.56,77.56,150.11,1,1,3,0.14,0.13,1.85,0,0,0,4,4,10,0,0,0.13,0.14,0,0,3.41,15.83,26.06,7.92,23.8,35.2,0.78,0.78,20.44,20.44,21.89,0.86,0.87,1.15,0.88,0.88,0.37,-0.13,-0.14,4.51,7.97,9.14,270,227.67,42.33,4,1.98,2.02,14,12.75,59,41.89,17.11,0.1,0
"2019","ATL",1,"Justin Hardy","WR",0,5,0,0,28,0,4,0,3.7,0,41,0,0,34.24,0,0,0,0,0,0.03,0,0,0,0,0,2,0,0,0,0,0.06,0,0,0,8.32,0,0,8.1,0,41,34.24,0,0.03,2,1.94,8.1,8.32,0,0.3,0,6.76,0,0,-0.03,0,0,0.0600000000000001,0,0,-0.220000000000001,0,6.76,-0.03,-0.220000000000001,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.108695652173913,0
"2019","ATL",1,NA,NA,0,1,0,0,15,0,0,0,0.48,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,1.47,0,0,0,0,0,9.62,0,0,0,0.48,0,1.47,0,-0.48,0,-9.62,0,0,0,0,0,-0.48,0,0,-1.47,0,-9.62,0,-1.47,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.0217391304347826,0
"2019","ATL",1,"Russell Gage","WR",0,2,1,0,34,0,1,0,1.14,0,13,-1,0,22.36,6.43,0,0,0,0,0.03,0.02,0,0,0,0,1,0,0,0,0,0.07,0,0,0,3.55,0.76,0,2.3,-0.1,12,28.79,0,0.05,1,1.37,2.2,4.31,0,-0.14,0,-9.36,-7.43,0,-0.03,-0.02,0,-0.17,-0.2,0,-1.25,-0.86,-16.79,-0.05,-2.11,46,46,17,360,360,33,33,31.4,31.4,304,304,73,330.34,330.34,79.2,2,2,0,1.67,1.67,0.54,0,0,0,16,16,5,2,2,0.91,0.9,0,1,20.18,76.55,11.15,16.16,75.4,5.3,1.6,1.6,-26.34,-26.34,-6.2,0.33,0.33,-0.54,-0.579999999999998,-0.6,0.1,1.09,1.1,-4.02,-1.15,-5.85,377,409.54,-32.54,2,2.21,-0.21,21,21.5,80.7,87.7,-7,0.0434782608695652,0.0588235294117647
"2019","MIN",1,"Stefon Diggs","WR",0,2,0,0,29,0,2,0,1.34,0,37,0,0,23.05,0,0,0,0,0,0.02,0,0,0,0,0,1,0,0,0,0,0.04,0,0,0,3.78,0,0,5.7,0,37,23.05,0,0.02,1,0.98,5.7,3.78,0,0.66,0,13.95,0,0,-0.02,0,0,0.02,0,0,1.92,0,13.95,-0.02,1.92,10,10,38,51,51,8,8,7.22,7.22,98,98,172,77.56,77.56,150.11,1,1,3,0.14,0.13,1.85,0,0,0,4,4,10,0,0,0.13,0.14,0,0,3.41,15.83,26.06,7.92,23.8,35.2,0.78,0.78,20.44,20.44,21.89,0.86,0.87,1.15,0.88,0.88,0.37,-0.13,-0.14,4.51,7.97,9.14,270,227.67,42.33,4,1.98,2.02,14,12.75,59,41.89,17.11,0.2,0
