"season","posteam","week","player_id","full_name","position","pass_attempt","rec_attempt","rush_attempt","pass_air_yards","rec_air_yards","pass_completions","receptions","pass_completions_exp","receptions_exp","pass_yards_gained","rec_yards_gained","rush_yards_gained","pass_yards_gained_exp","rec_yards_gained_exp","rush_yards_gained_exp","pass_touchdown","rec_touchdown","rush_touchdown","pass_touchdown_exp","rec_touchdown_exp","rush_touchdown_exp","pass_two_point_conv","rec_two_point_conv","rush_two_point_conv","pass_first_down","rec_first_down","rush_first_down","pass_interception","rec_interception","pass_interception_exp","rec_interception_exp","rec_fumble_lost","rush_fumble_lost","pass_fantasy_points_exp","rec_fantasy_points_exp","rush_fantasy_points_exp","pass_fantasy_points","rec_fantasy_points","rush_fantasy_points","total_yards_gained","total_yards_gained_exp","total_touchdown","total_touchdown_exp","total_first_down","total_first_down_exp","total_fantasy_points","total_fantasy_points_exp","pass_completions_diff","receptions_diff","pass_yards_gained_diff","rec_yards_gained_diff","rush_yards_gained_diff","pass_touchdown_diff","rec_touchdown_diff","rush_touchdown_diff","pass_first_down_diff","rec_first_down_diff","rush_first_down_diff","pass_fantasy_points_diff","rec_fantasy_points_diff","rush_fantasy_points_diff","total_yards_gained_diff","total_touchdown_diff","total_fantasy_points_diff","pass_attempt_team","rec_attempt_team","rush_attempt_team","pass_air_yards_team","rec_air_yards_team","pass_completions_team","receptions_team","pass_completions_exp_team","receptions_exp_team","pass_yards_gained_team","rec_yards_gained_team","rush_yards_gained_team","pass_yards_gained_exp_team","rec_yards_gained_exp_team","rush_yards_gained_exp_team","pass_touchdown_team","rec_touchdown_team","rush_touchdown_team","pass_touchdown_exp_team","rec_touchdown_exp_team","rush_touchdown_exp_team","pass_two_point_conv_team","rec_two_point_conv_team","rush_two_point_conv_team","pass_first_down_team","rec_first_down_team","rush_first_down_team","pass_interception_team","rec_interception_team","pass_interception_exp_team","rec_interception_exp_team","rec_fumble_lost_team","rush_fumble_lost_team","pass_fantasy_points_exp_team","rec_fantasy_points_exp_team","rush_fantasy_points_exp_team","pass_fantasy_points_team","rec_fantasy_points_team","rush_fantasy_points_team","pass_completions_diff_team","receptions_diff_team","pass_yards_gained_diff_team","rec_yards_gained_diff_team","rush_yards_gained_diff_team","pass_touchdown_diff_team","rec_touchdown_diff_team","rush_touchdown_diff_team","pass_first_down_diff_team","rec_first_down_diff_team","rush_first_down_diff_team","pass_interception_diff_team","rec_interception_diff_team","pass_fantasy_points_diff_team","rec_fantasy_points_diff_team","rush_fantasy_points_diff_team","total_yards_gained_team","total_yards_gained_exp_team","total_yards_gained_diff_team","total_touchdown_team","total_touchdown_exp_team","total_touchdown_diff_team","total_first_down_team","total_first_down_exp_team","total_fantasy_points_team","total_fantasy_points_exp_team","total_fantasy_points_diff_team","target_share","rush_share"
"2018","ATL",1,"00-0026143","Matt Ryan","QB",43,0,2,380,0,21,0,26.56,0,251,0,8,306.35,0,12.85,0,0,0,3.42,0,0.02,0,0,0,10,0,1,1,0,1.19,0,0,0,23.55,0,1.41,8.04,0,0.8,259,319.2,0,3.44,11,15.62,8.84,24.96,-5.56,0,-55.35,0,-4.85,-3.42,0,-0.02,-4.73,0,0.11,-15.51,0,-0.61,-60.2,-3.44,-16.12,43,43,18,380,380,21,21,26.56,26.55,251,251,74,306.35,306.34,75.31,0,0,1,3.42,3.41,1.46,0,0,0,10,10,4,1,1,1.19,1.2,0,0,23.55,77.7,16.31,8.04,46.1,13.4,-5.56,-5.55,-55.35,-55.34,-1.31,-3.42,-3.41,-0.46,-4.73,-4.73,-0.8,-0.19,-0.2,-15.51,-31.6,-2.91,325,381.65,-56.65,1,4.87,-3.87,14,19.53,59.5,94.01,-34.51,0,0.111111111111111
"2018","ATL",1,"00-0027944","Julio Jones","WR",0,19,1,0,282,0,10,0,10.37,0,169,11,0,166.64,7.23,0,0,0,0,1.06,0,0,0,0,0,7,1,0,1,0,0.72,0,0,0,33.42,0.75,0,26.9,1.1,180,173.87,0,1.06,8,8.44,28,34.17,0,-0.369999999999999,0,2.36000000000001,3.77,0,-1.06,0,0,-0.82,0.38,0,-6.52,0.35,6.13000000000002,-1.06,-6.17,43,43,18,380,380,21,21,26.56,26.55,251,251,74,306.35,306.34,75.31,0,0,1,3.42,3.41,1.46,0,0,0,10,10,4,1,1,1.19,1.2,0,0,23.55,77.7,16.31,8.04,46.1,13.4,-5.56,-5.55,-55.35,-55.34,-1.31,-3.42,-3.41,-0.46,-4.73,-4.73,-0.8,-0.19,-0.2,-15.51,-31.6,-2.91,325,381.65,-56.65,1,4.87,-3.87,14,19.53,59.5,94.01,-34.51,0.441860465116279,0.0555555555555556
"2018","ATL",1,"00-0034837","Calvin Ridley","WR",0,2,0,0,20,0,0,0,1.39,0,0,0,0,17.95,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,3.25,0,0,0,0,0,17.95,0,0.01,0,0.82,0,3.25,0,-1.39,0,-17.95,0,0,-0.01,0,0,-0.82,0,0,-3.25,0,-17.95,-0.01,-3.25,43,43,18,380,380,21,21,26.56,26.55,251,251,74,306.35,306.34,75.31,0,0,1,3.42,3.41,1.46,0,0,0,10,10,4,1,1,1.19,1.2,0,0,23.55,77.7,16.31,8.04,46.1,13.4,-5.56,-5.55,-55.35,-55.34,-1.31,-3.42,-3.41,-0.46,-4.73,-4.73,-0.8,-0.19,-0.2,-15.51,-31.6,-2.91,325,381.65,-56.65,1,4.87,-3.87,14,19.53,59.5,94.01,-34.51,0.0465116279069767,0
"2018","ATL",1,"00-0031285","Devonta Freeman","RB",0,5,6,0,-5,0,3,0,3.89,0,14,36,0,25.32,17.53,0,0,0,0,0.57,1.34,0,0,0,0,0,1,0,0,0,0.05,0,0,0,9.86,9.79,0,4.4,3.6,50,42.85,0,1.91,1,3.11,8,19.65,0,-0.89,0,-11.32,18.47,0,-0.57,-1.34,0,-1.18,-0.93,0,-5.46,-6.19,7.15,-1.91,-11.65,43,43,18,380,380,21,21,26.56,26.55,251,251,74,306.35,306.34,75.31,0,0,1,3.42,3.41,1.46,0,0,0,10,10,4,1,1,1.19,1.2,0,0,23.55,77.7,16.31,8.04,46.1,13.4,-5.56,-5.55,-55.35,-55.34,-1.31,-3.42,-3.41,-0.46,-4.73,-4.73,-0.8,-0.19,-0.2,-15.51,-31.6,-2.91,325,381.65,-56.65,1,4.87,-3.87,14,19.53,59.5,94.01,-34.51,0.116279069767442,0.333333333333333
"2018","PHI",1,"00-0029567","Nick Foles","QB",34,1,1,277,8,19,1,23.12,0.63,117,15,-1,252.62,7.53,-1,0,0,0,0.65,0.01,0,0,0,0,6,1,0,1,0,0.8,0.03,0,0,11.11,1.43,-0.1,2.68,2.5,-0.1,131,259.15,0,0.66,7,12.96,5.08,12.44,-4.12,0.37,-135.62,7.47,0,-0.65,-0.01,0,-6.31,0.35,0,-8.43,1.07,0,-128.15,-0.66,-7.36,35,35,27,285,285,20,20,23.75,23.75,132,132,113,260.15,260.16,108.77,0,0,2,0.66,0.68,1.09,0,0,1,7,7,7,1,1,0.83,0.82,0,0,11.38,53.75,18.21,3.28,33.2,25.3,-3.75,-3.75,-128.15,-128.16,4.23,-0.66,-0.68,0.91,-5.96,-5.96,-0.94,0.17,0.18,-8.1,-20.55,7.09,245,368.93,-123.93,2,1.77,0.23,14,20.9,58.5,71.96,-13.46,0.0285714285714286,0.037037037037037
"2018","PHI",1,"00-0031549","Nelson Agholor","WR",1,10,1,8,49,1,8,0.63,7.26,15,33,16,7.53,65.99,6.42,0,0,0,0.01,0.04,0.01,0,0,0,1,3,1,0,0,0.03,0.17,0,0,0.27,14.08,0.7,0.6,11.3,1.6,64,79.94,0,0.06,5,4.59,13.5,15.05,0.37,0.74,7.47,-32.99,9.58,-0.01,-0.04,-0.01,0.35,-0.18,0.24,0.33,-2.78,0.9,-15.94,-0.06,-1.55,35,35,27,285,285,20,20,23.75,23.75,132,132,113,260.15,260.16,108.77,0,0,2,0.66,0.68,1.09,0,0,1,7,7,7,1,1,0.83,0.82,0,0,11.38,53.75,18.21,3.28,33.2,25.3,-3.75,-3.75,-128.15,-128.16,4.23,-0.66,-0.68,0.91,-5.96,-5.96,-0.94,0.17,0.18,-8.1,-20.55,7.09,245,368.93,-123.93,2,1.77,0.23,14,20.9,58.5,71.96,-13.46,0.285714285714286,0.037037037037037
"2018","PHI",1,"00-0023564","Darren Sproles","RB",0,7,5,0,-3,0,4,0,5.59,0,22,10,0,40.47,20.46,0,0,0,0,0.06,0.31,0,0,0,0,1,1,0,0,0,0.08,0,0,0,10.01,3.92,0,6.2,1,32,60.93,0,0.37,2,3.83,7.2,13.93,0,-1.59,0,-18.47,-10.46,0,-0.06,-0.31,0,-1.53,-0.3,0,-3.81,-2.92,-28.93,-0.37,-6.73,35,35,27,285,285,20,20,23.75,23.75,132,132,113,260.15,260.16,108.77,0,0,2,0.66,0.68,1.09,0,0,1,7,7,7,1,1,0.83,0.82,0,0,11.38,53.75,18.21,3.28,33.2,25.3,-3.75,-3.75,-128.15,-128.16,4.23,-0.66,-0.68,0.91,-5.96,-5.96,-0.94,0.17,0.18,-8.1,-20.55,7.09,245,368.93,-123.93,2,1.77,0.23,14,20.9,58.5,71.96,-13.46,0.2,0.185185185185185
"2018","ATL",1,"00-0029632","Mohamed Sanu","WR",0,6,0,0,49,0,4,0,3.93,0,18,0,0,46.18,0,0,0,0,0,0.19,0,0,0,0,0,2,0,0,0,0,0.13,0,0,0,9.69,0,0,5.8,0,18,46.18,0,0.19,2,2.12,5.8,9.69,0,0.0699999999999998,0,-28.18,0,0,-0.19,0,0,-0.12,0,0,-3.89,0,-28.18,-0.19,-3.89,43,43,18,380,380,21,21,26.56,26.55,251,251,74,306.35,306.34,75.31,0,0,1,3.42,3.41,1.46,0,0,0,10,10,4,1,1,1.19,1.2,0,0,23.55,77.7,16.31,8.04,46.1,13.4,-5.56,-5.55,-55.35,-55.34,-1.31,-3.42,-3.41,-0.46,-4.73,-4.73,-0.8,-0.19,-0.2,-15.51,-31.6,-2.91,325,381.65,-56.65,1,4.87,-3.87,14,19.53,59.5,94.01,-34.51,0.13953488372093,0
"2018","ATL",1,"00-0032058","Tevin Coleman","RB",0,2,9,0,-19,0,1,0,1.73,0,26,19,0,5.01,37.7,0,0,1,0,0.02,0.1,0,0,0,0,1,1,0,0,0,0.01,0,0,0,2.36,4.36,0,3.6,7.9,45,42.71,1,0.12,2,1.65,11.5,6.72,0,-0.73,0,20.99,-18.7,0,-0.02,0.9,0,0.71,-0.36,0,1.24,3.54,2.29,0.88,4.78,43,43,18,380,380,21,21,26.56,26.55,251,251,74,306.35,306.34,75.31,0,0,1,3.42,3.41,1.46,0,0,0,10,10,4,1,1,1.19,1.2,0,0,23.55,77.7,16.31,8.04,46.1,13.4,-5.56,-5.55,-55.35,-55.34,-1.31,-3.42,-3.41,-0.46,-4.73,-4.73,-0.8,-0.19,-0.2,-15.51,-31.6,-2.91,325,381.65,-56.65,1,4.87,-3.87,14,19.53,59.5,94.01,-34.51,0.0465116279069767,0.5
"2018","ATL",1,"00-0032392","Austin Hooper","TE",0,4,0,0,23,0,3,0,2.75,0,24,0,0,23.88,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,9.45,0,0,5.4,0,24,23.88,0,0.72,0,0.93,5.4,9.45,0,0.25,0,0.120000000000001,0,0,-0.72,0,0,-0.93,0,0,-4.05,0,0.120000000000001,-0.72,-4.05,43,43,18,380,380,21,21,26.56,26.55,251,251,74,306.35,306.34,75.31,0,0,1,3.42,3.41,1.46,0,0,0,10,10,4,1,1,1.19,1.2,0,0,23.55,77.7,16.31,8.04,46.1,13.4,-5.56,-5.55,-55.35,-55.34,-1.31,-3.42,-3.41,-0.46,-4.73,-4.73,-0.8,-0.19,-0.2,-15.51,-31.6,-2.91,325,381.65,-56.65,1,4.87,-3.87,14,19.53,59.5,94.01,-34.51,0.0930232558139535,0
